Year,Month,Category,Revenue,Profit,Units,Avg_Discount,Margin_Pct,Date
2011,1,Furniture,34463.753,691.2008999999998,246,0.17675000000000002,2.01,2011-01-01
2011,1,Office Supplies,33526.7275,4573.7381000000005,997,0.16437062937062935,13.64,2011-01-01
2011,1,Technology,30908.00836,3056.86196,220,0.11355223880597014,9.89,2011-01-01
2011,2,Furniture,30641.2035,2878.6208,230,0.13999999999999999,9.39,2011-02-01
2011,2,Office Supplies,22276.999,2336.186,695,0.12445454545454546,10.49,2011-02-01
2011,2,Technology,38233.95448,7203.10018,299,0.17057777777777777,18.84,2011-02-01
2011,3,Furniture,44780.1388,4888.2878,357,0.1711764705882353,10.92,2011-03-01
2011,3,Office Supplies,34395.1339,6411.4282,1136,0.12869300911854104,18.64,2011-03-01
2011,3,Technology,66554.09466,4003.8522599999997,343,0.13344444444444445,6.02,2011-03-01
2011,4,Furniture,31344.8651,2085.5382,336,0.19625,6.65,2011-04-01
2011,4,Office Supplies,46604.1239,5678.5985,1295,0.12414084507042254,12.18,2011-04-01
2011,4,Technology,38966.77518,5138.18768,389,0.15525714285714284,13.19,2011-04-01
2011,5,Furniture,44980.6683,546.0237000000001,378,0.1887719298245614,1.21,2011-05-01
2011,5,Office Supplies,46109.5856,5082.506,1184,0.1358878504672897,11.02,2011-05-01
2011,5,Technology,55657.5822,6555.299,451,0.13161832061068704,11.78,2011-05-01
2011,6,Furniture,78368.8521,3885.9218000000005,697,0.22838709677419353,4.96,2011-06-01
2011,6,Office Supplies,65149.7344,8504.16,1802,0.16073937153419593,13.05,2011-06-01
2011,6,Technology,71688.79372,11025.16522,613,0.15838947368421052,15.38,2011-06-01
2011,7,Furniture,31385.1932,864.5088999999998,315,0.2072727272727273,2.75,2011-07-01
2011,7,Office Supplies,41358.639,953.2737999999999,1096,0.14719594594594596,2.3,2011-07-01
2011,7,Technology,42766.58692,3767.22082,363,0.16464864864864864,8.81,2011-07-01
2011,8,Furniture,69984.4592,723.0844000000001,583,0.15057324840764333,1.03,2011-08-01
2011,8,Office Supplies,56697.2076,9773.5163,1817,0.13576086956521738,17.24,2011-08-01
2011,8,Technology,80899.82442,13217.06702,635,0.13539644970414202,16.34,2011-08-01
2011,9,Furniture,95029.1217,10419.2485,763,0.1535211267605634,10.96,2011-09-01
2011,9,Office Supplies,102938.7562,17662.7584,2376,0.12167414050822123,17.16,2011-09-01
2011,9,Technology,92246.57744000001,7694.87704,568,0.13869411764705883,8.34,2011-09-01
2011,10,Furniture,77411.7041,9262.4516,612,0.14368098159509204,11.97,2011-10-01
2011,10,Office Supplies,48234.8242,5746.0768,1591,0.14302375809935206,11.91,2011-10-01
2011,10,Technology,73424.73574,10954.88994,524,0.13886486486486485,14.92,2011-10-01
2011,11,Furniture,90757.3673,4274.7988000000005,771,0.16705314009661834,4.71,2011-11-01
2011,11,Office Supplies,94326.9905,9799.4905,2458,0.1574142857142857,10.39,2011-11-01
2011,11,Technology,113412.17972,18634.88842,810,0.14683620689655175,16.43,2011-11-01
2011,12,Furniture,127045.0577,13177.241,1021,0.1685357142857143,10.37,2011-12-01
2011,12,Office Supplies,83987.72839999999,9474.8017,2529,0.13621848739495798,11.28,2011-12-01
2011,12,Technology,122892.9485,17995.9413,943,0.15899628252788106,14.64,2011-12-01
2012,1,Furniture,42498.8614,-1861.7602,396,0.18029126213592234,-4.38,2012-01-01
2012,1,Office Supplies,47071.0701,6856.427,1100,0.12341614906832299,14.57,2012-01-01
2012,1,Technology,46210.788739999996,5406.97084,349,0.14161403508771928,11.7,2012-01-01
2012,2,Furniture,37897.8278,4438.362,290,0.1507594936708861,11.71,2012-02-01
2012,2,Office Supplies,24490.4583,4171.0043,847,0.1422047244094488,17.03,2012-02-01
2012,2,Technology,38121.93088,6390.72988,336,0.1536875,16.76,2012-02-01
2012,3,Furniture,55082.3307,1728.1416,457,0.2227966101694915,3.14,2012-03-01
2012,3,Office Supplies,53721.2811,9201.0911,1316,0.13618226600985223,17.13,2012-03-01
2012,3,Technology,54273.15936,7063.68486,464,0.14566666666666667,13.02,2012-03-01
2012,4,Furniture,54701.8721,3175.5537999999997,422,0.18231404958677686,5.81,2012-04-01
2012,4,Office Supplies,43886.0595,5713.6211,1298,0.13783505154639175,13.02,2012-04-01
2012,4,Technology,62464.33792,8477.79232,530,0.11964864864864866,13.57,2012-04-01
2012,5,Furniture,62961.3161,6907.8703,488,0.14965517241379309,10.97,2012-05-01
2012,5,Office Supplies,61041.0493,7782.6972,1865,0.1333270676691729,12.75,2012-05-01
2012,5,Technology,84362.52584,15186.13624,568,0.1327730061349693,18.0,2012-05-01
2012,6,Furniture,81480.7421,7720.2234,718,0.16865384615384615,9.47,2012-06-01
2012,6,Office Supplies,75845.8261,9647.8055,2236,0.14624823695345557,12.72,2012-06-01
2012,6,Technology,98849.13022,17039.12472,717,0.13476712328767124,17.24,2012-06-01
2012,7,Furniture,41491.390999999996,3016.9572000000003,466,0.15837037037037036,7.27,2012-07-01
2012,7,Office Supplies,46346.4109,6312.3848,1402,0.15662591687041566,13.62,2012-07-01
2012,7,Technology,57398.98322,6256.046420000001,453,0.16490434782608696,10.9,2012-07-01
2012,8,Furniture,84644.443,6344.7399,647,0.14097938144329897,7.5,2012-08-01
2012,8,Office Supplies,97259.7726,15418.957699999999,2370,0.12354790419161676,15.85,2012-08-01
2012,8,Technology,121238.72678,21810.18098,801,0.11894117647058824,17.99,2012-08-01
2012,9,Furniture,96165.5812,8613.7367,803,0.15551111111111113,8.96,2012-09-01
2012,9,Office Supplies,78844.1695,7581.1962,2519,0.1369139072847682,9.62,2012-09-01
2012,9,Technology,114379.41494,11581.24744,883,0.12637860082304528,10.13,2012-09-01
2012,10,Furniture,84823.9238,7579.594,657,0.16569060773480665,8.94,2012-10-01
2012,10,Office Supplies,59383.131,5999.6885,2114,0.13568027210884354,10.1,2012-10-01
2012,10,Technology,108732.7954,17083.6002,792,0.1180814479638009,15.71,2012-10-01
2012,11,Furniture,120308.3095,4690.231,1138,0.16828025477707007,3.9,2012-11-01
2012,11,Office Supplies,99990.3724,11635.9613,3187,0.14421892816419613,11.64,2012-11-01
2012,11,Technology,103213.735,15494.5295,868,0.13586617100371748,15.01,2012-11-01
2012,12,Furniture,96845.9594,5779.1843,797,0.15752252252252252,5.97,2012-12-01
2012,12,Office Supplies,107215.0262,12984.6731,2881,0.12831038798498123,12.11,2012-12-01
2012,12,Technology,134195.981,14186.8939,936,0.13378707224334602,10.57,2012-12-01
2013,1,Furniture,81804.6007,10821.4584,544,0.16223776223776223,13.23,2013-01-01
2013,1,Office Supplies,64983.6632,9854.4524,1452,0.12220454545454547,15.16,2013-01-01
2013,1,Technology,52397.64348,6134.64888,417,0.11485714285714285,11.71,2013-01-01
2013,2,Furniture,59117.9443,6402.2585,453,0.1602307692307692,10.83,2013-02-01
2013,2,Office Supplies,51552.878,8040.1701,1279,0.12183060109289616,15.6,2013-02-01
2013,2,Technology,56568.8281,9320.0675,370,0.11552293577981652,16.48,2013-02-01
2013,3,Furniture,65323.2928,2612.8528,582,0.176625,4.0,2013-03-01
2013,3,Office Supplies,62007.8735,9418.4769,1576,0.14231277533039646,15.19,2013-03-01
2013,3,Technology,71262.86382,11402.44492,528,0.14153947368421052,16.0,2013-03-01
2013,4,Furniture,54586.982299999996,1364.9977,529,0.18316901408450706,2.5,2013-04-01
2013,4,Office Supplies,55765.7085,7198.0458,1652,0.13915463917525772,12.91,2013-04-01
2013,4,Technology,67468.62604,10898.99494,507,0.14313924050632912,16.15,2013-04-01
2013,5,Furniture,74434.529,952.0303000000001,745,0.17086294416243658,1.28,2013-05-01
2013,5,Office Supplies,74692.3837,11986.135699999999,2351,0.14062027231467475,16.05,2013-05-01
2013,5,Technology,111371.652,15557.5281,712,0.13307537688442211,13.97,2013-05-01
2013,6,Furniture,115262.2295,10196.8188,963,0.16930313588850177,8.85,2013-06-01
